img,joints,cartesians,yolo_midpoint,our_midpoint,class
img0.png,"[46.9, 41.75, 36.11, -44.97, -83.47, 98.61]","[[211.09, 299.55, 213.56], [0.01, 0.009, -0.694, -0.72]]","[563.83, 207.36]","[580.339, 235.912]",2.0
img0.png,"[126.32, 41.83, 40.37, 34.87, -85.7, 85.6]","[[-173.93, 305.89, 204.09], [0.01, 0.009, -0.694, -0.72]]","[301.438, 217.348]","[303.963, 245.8]",1.0
img0.png,"[79.74, -1.05, 52.62, -14.52, -54.61, 99.02]","[[40.39, 305.74, 369.52], [0.01, 0.009, -0.694, -0.72]]","[468.202, 94.042]","[476.286, 120.559]",0.0
img1.png,"[125.93, 42.84, 37.88, 34.55, -84.44, 84.8]","[[-178.77, 315.99, 203.9], [0.01, 0.009, -0.694, -0.72]]","[301.145, 217.356]","[300.653, 244.175]",1.0
img1.png,"[48.77, 13.96, 35.91, -49.25, -63.59, 119.3]","[[204.54, 307.55, 368.89], [0.01, 0.009, -0.694, -0.72]]","[577.517, 95.015]","[596.756, 119.5]",2.0
img1.png,"[79.82, -0.67, 53.32, -14.23, -55.64, 98.64]","[[39.71, 303.93, 365.04], [0.01, 0.009, -0.694, -0.72]]","[472.51, 94.418]","[473.38, 125.994]",0.0
img2.png,"[136.33, 22.44, 26.81, 51.44, -64.21, 59.34]","[[-257.42, 315.85, 359.13], [0.01, 0.009, -0.694, -0.72]]","[238.353, 97.46]","[238.315, 128.591]",0.0
img2.png,"[126.52, 43.34, 37.83, 35.11, -84.87, 84.99]","[[-180.98, 313.67, 201.31], [0.01, 0.009, -0.694, -0.72]]","[300.916, 217.259]","[303.25, 245.474]",1.0
img2.png,"[77.74, -1.12, 53.63, -16.74, -55.84, 100.15]","[[47.75, 300.65, 365.57], [0.01, 0.009, -0.694, -0.72]]","[481.595, 95.348]","[485.068, 122.097]",2.0
img3.png,"[137.26, 20.03, 30.31, 51.92, -65.36, 59.87]","[[-251.0, 302.06, 358.47], [0.01, 0.009, -0.694, -0.72]]","[238.541, 97.269]","[237.016, 124.695]",0.0
img3.png,"[61.76, 6.25, 45.84, -35.07, -59.75, 110.74]","[[125.89, 309.97, 365.78], [0.01, 0.009, -0.694, -0.72]]","[520.679, 92.934]","[533.12, 116.903]",1.0
img3.png,"[62.55, 38.76, 47.03, -28.98, -88.43, 92.09]","[[118.37, 303.55, 207.15], [0.01, 0.009, -0.694, -0.72]]","[498.004, 208.628]","[507.146, 238.981]",2.0
img4.png,"[48.57, 41.89, 37.12, -43.22, -84.07, 97.56]","[[200.93, 301.76, 210.54], [0.01, 0.009, -0.694, -0.72]]","[559.547, 210.17]","[573.38, 237.682]",1.0
img4.png,"[83.21, 38.41, 50.24, -8.33, -90.77, 90.25]","[[27.02, 315.07, 203.97], [0.01, 0.009, -0.694, -0.72]]","[451.211, 213.436]","[450.003, 241.578]",2.0
img4.png,"[135.95, 22.36, 27.16, 50.97, -64.18, 59.74]","[[-254.91, 316.7, 358.09], [0.01, 0.009, -0.694, -0.72]]","[238.27, 97.822]","[240.912, 125.994]",0.0
img5.png,"[81.8, 36.42, 55.91, -9.76, -94.4, 89.66]","[[29.16, 287.68, 205.34], [0.01, 0.009, -0.694, -0.72]]","[449.681, 216.672]","[448.705, 241.578]",2.0
img5.png,"[48.2, 41.99, 36.68, -43.61, -83.87, 97.84]","[[203.75, 301.98, 210.97], [0.01, 0.009, -0.694, -0.72]]","[555.718, 209.828]","[572.081, 232.487]",1.0
img5.png,"[46.39, 14.12, 35.7, -51.57, -64.75, 120.44]","[[214.8, 299.43, 368.92], [0.01, 0.009, -0.694, -0.72]]","[586.57, 94.848]","[613.64, 120.799]",0.0
img6.png,"[82.15, 37.04, 53.57, -9.4, -92.71, 89.95]","[[29.42, 299.21, 205.46], [0.01, 0.009, -0.694, -0.72]]","[449.854, 216.667]","[451.302, 242.877]",2.0
img6.png,"[131.66, 43.7, 36.55, 40.3, -84.65, 83.76]","[[-205.8, 301.03, 202.06], [0.01, 0.009, -0.694, -0.72]]","[278.684, 221.947]","[281.172, 254.565]",0.0
img6.png,"[48.08, 42.12, 36.86, -43.71, -84.11, 97.65]","[[203.52, 300.76, 209.89], [0.01, 0.009, -0.694, -0.72]]","[555.856, 209.943]","[569.484, 233.786]",1.0
img7.png,"[82.64, 36.79, 53.11, -8.89, -92.0, 90.07]","[[27.8, 302.27, 207.02], [0.01, 0.009, -0.694, -0.72]]","[449.206, 216.118]","[452.601, 238.981]",2.0
img7.png,"[142.91, 25.77, 22.19, 58.0, -67.02, 55.42]","[[-298.38, 296.02, 358.39], [0.01, 0.009, -0.694, -0.72]]","[199.645, 96.776]","[201.951, 124.695]",1.0
img8.png,"[82.25, 36.63, 53.55, -9.29, -92.28, 90.02]","[[29.11, 299.96, 207.12], [0.01, 0.009, -0.694, -0.72]]","[450.701, 216.726]","[450.003, 242.877]",2.0
img8.png,"[53.38, 42.37, 36.44, -38.44, -83.31, 96.99]","[[182.54, 320.15, 209.47], [0.01, 0.009, -0.694, -0.72]]","[545.462, 210.097]","[559.094, 236.383]",1.0
img9.png,"[142.05, 52.31, 16.85, 51.8, -78.95, 73.81]","[[-306.72, 309.59, 200.38], [0.01, 0.009, -0.694, -0.72]]","[203.679, 220.505]","[205.847, 254.565]",1.0
img9.png,"[50.59, 41.43, 38.56, -41.14, -84.55, 96.62]","[[188.57, 303.8, 209.84], [0.01, 0.009, -0.694, -0.72]]","[547.605, 209.972]","[561.692, 237.682]",2.0
img10.png,"[142.51, 52.03, 18.11, 52.1, -79.68, 74.49]","[[-304.46, 304.01, 198.5], [0.01, 0.009, -0.694, -0.72]]","[204.216, 220.535]","[205.847, 248.071]",1.0
img10.png,"[119.78, 6.78, 46.02, 33.17, -59.79, 70.72]","[[-136.13, 306.48, 362.55], [0.01, 0.009, -0.694, -0.72]]","[333.063, 96.12]","[335.718, 125.994]",2.0
img11.png,"[143.82, 25.51, 22.53, 58.77, -67.58, 55.16]","[[-300.77, 290.49, 358.54], [0.01, 0.009, -0.694, -0.72]]","[196.873, 96.791]","[201.951, 129.89]",2.0
img11.png,"[69.26, 1.25, 51.06, -26.67, -57.58, 105.99]","[[85.16, 301.91, 366.38], [0.01, 0.009, -0.694, -0.72]]","[495.257, 95.677]","[511.042, 123.396]",0.0
img12.png,"[139.3, 47.6, 27.69, 48.3, -82.24, 79.12]","[[-262.56, 296.13, 200.4], [0.01, 0.009, -0.694, -0.72]]","[233.241, 213.093]","[237.016, 246.773]",0.0
img12.png,"[142.24, 27.33, 19.7, 57.74, -66.14, 54.82]","[[-303.18, 305.24, 359.28], [0.01, 0.009, -0.694, -0.72]]","[196.46, 96.905]","[207.146, 128.591]",2.0
img13.png,"[49.46, 41.47, 39.15, -42.23, -85.14, 96.35]","[[191.17, 297.72, 208.44], [0.01, 0.009, -0.694, -0.72]]","[556.697, 211.192]","[573.38, 238.981]",2.0
img13.png,"[135.23, 50.48, 21.13, 44.71, -78.87, 77.22]","[[-264.58, 332.48, 199.98], [0.01, 0.009, -0.694, -0.72]]","[232.912, 213.225]","[237.016, 245.474]",0.0
img13.png,"[81.93, -3.07, 55.52, -11.73, -55.15, 97.17]","[[29.67, 294.8, 365.5], [0.01, 0.009, -0.694, -0.72]]","[462.832, 93.406]","[461.692, 120.799]",1.0
img14.png,"[48.94, 40.62, 39.96, -42.75, -85.18, 96.43]","[[191.33, 293.79, 211.09], [0.01, 0.009, -0.694, -0.72]]","[556.603, 210.979]","[570.782, 238.981]",2.0
img14.png,"[83.18, -2.13, 54.52, -10.23, -54.95, 96.28]","[[25.36, 300.03, 365.95], [0.01, 0.009, -0.694, -0.72]]","[462.252, 94.232]","[456.497, 120.799]",1.0
img14.png,"[46.8, 13.91, 35.93, -51.17, -64.56, 120.23]","[[212.44, 300.21, 369.03], [0.01, 0.009, -0.694, -0.72]]","[579.529, 94.899]","[603.25, 120.799]",0.0
img15.png,"[50.63, 41.47, 37.98, -41.14, -84.14, 96.97]","[[190.21, 306.08, 210.86], [0.01, 0.009, -0.694, -0.72]]","[557.01, 211.627]","[570.782, 238.981]",2.0
img15.png,"[134.56, 17.24, 33.98, 49.01, -64.6, 61.82]","[[-229.09, 302.6, 358.91], [0.01, 0.009, -0.694, -0.72]]","[261.193, 97.046]","[262.99, 128.591]",0.0
img15.png,"[47.02, 15.19, 34.28, -51.1, -64.22, 120.45]","[[216.38, 306.17, 369.14], [0.01, 0.009, -0.694, -0.72]]","[581.998, 93.206]","[603.25, 119.5]",1.0
img16.png,"[50.42, 41.53, 37.88, -41.35, -84.14, 97.03]","[[191.31, 305.72, 210.78], [0.01, 0.009, -0.694, -0.72]]","[556.038, 211.228]","[570.782, 237.682]",2.0
img16.png,"[123.48, 41.38, 43.67, 31.94, -87.91, 87.44]","[[-153.21, 300.69, 200.39], [0.01, 0.009, -0.694, -0.72]]","[315.698, 220.498]","[318.834, 249.37]",0.0
img16.png,"[46.44, 14.34, 35.32, -51.58, -64.62, 120.56]","[[215.64, 300.71, 369.39], [0.01, 0.009, -0.694, -0.72]]","[583.862, 92.17]","[603.25, 118.201]",1.0
img17.png,"[81.31, -0.92, 53.4, -12.47, -55.26, 97.62]","[[33.6, 304.35, 365.73], [0.01, 0.009, -0.694, -0.72]]","[471.287, 94.322]","[473.38, 122.097]",2.0
img17.png,"[122.58, 41.56, 42.55, 31.07, -87.06, 87.02]","[[-152.56, 307.62, 201.44], [0.01, 0.009, -0.694, -0.72]]","[315.799, 219.82]","[317.536, 248.071]",0.0
img17.png,"[84.6, 36.52, 52.89, -6.93, -91.53, 90.12]","[[20.05, 304.66, 208.35], [0.01, 0.009, -0.694, -0.72]]","[447.601, 217.015]","[447.406, 242.877]",1.0
